model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std
TF-IDF + Linear SVM,0.903225806451613,0.06120537406777506,0.8318759018759018,0.09964341764241141,0.865994801101184,0.0838089282516391
TF-IDF + Logistic Regression,0.8967741935483872,0.055498872690597584,0.8447186147186146,0.08896937006102326,0.8589060207664859,0.0784999840237752
Baseline mayoría,0.696774193548387,0.015803159630859254,0.3333333333333333,0.0,0.27373004354136427,0.003673642091256826
