k,silhouette_cosine,inertia,cluster_sizes
2,0.05040788741935467,146.41479990066009,"[119, 48]"
3,0.07117568345287037,142.01149212844092,"[91, 48, 28]"
4,0.08282561016095501,138.31812171631194,"[16, 48, 26, 77]"
5,0.08247797288850686,136.5227445961914,"[48, 66, 6, 19, 28]"
6,0.05902581087042172,133.69968238132674,"[20, 26, 9, 57, 26, 29]"
7,0.07678237217798219,131.56248834264954,"[8, 18, 25, 44, 9, 22, 41]"
8,0.08350767400996038,129.35710247233402,"[15, 42, 63, 10, 8, 9, 9, 11]"
