doc_id,title,url,file_name,source
DOC_0030,"Guión que sirvió de base para la reunión de S.M. el Rey con el Presidente del Gobierno, el ministro de Defensa y la Junta de Jefes de Estado Mayor (14 de diciembre de 1981).",https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_1_R.pdf,Documento_1_R.pdf,La Moncloa
DOC_0031,Relación CESID (Dirección) - General Jefe del Estado Mayor (Capitanía).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_2_R.pdf,Documento_2_R.pdf,La Moncloa
DOC_0032,Relación CESID (Dirección) - PREJUJEM (J2).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_3_R.pdf,Documento_3_R.pdf,La Moncloa
DOC_0033,Resumen de la actuación del Departamento de Defensa Interna.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_4_R.pdf,Documento_4_R.pdf,La Moncloa
DOC_0034,Actitud del CESID ante la situación provocada por los incidentes en el Congreso.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_5_R.pdf,Documento_5_R.pdf,La Moncloa
DOC_0035,Informe sobre la participación de miembros de la AOME (CESID) en los hechos del 23 de febrero de 1981.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_6_R.pdf,Documento_6_R.pdf,La Moncloa
DOC_0036,Investigación y declaraciones personal AOME por JDDI (9 de abril de 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_7_R.pdf,Documento_7_R.pdf,La Moncloa
DOC_0037,Carta de José Cortina Prieto para Emilio Manglano (3 de octubre de 1981).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_8_R.pdf,Documento_8_R.pdf,La Moncloa
DOC_0038,Comisiones militares (10 de marzo de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_9_R.pdf,Documento_9_R.pdf,La Moncloa
DOC_0039,Comisiones militares en la vista de la causa 2/81 del Consejo Supremo de Justicia Militar.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_10_R.pdf,Documento_10_R.pdf,La Moncloa
DOC_0040,Ambiente en los cuarteles (25 de febrero de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_11_R.pdf,Documento_11_R.pdf,La Moncloa
DOC_0041,Sobre la anunciada libertad provisional de algunos procesados en la causa 2/81 (19 de abril de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_12_R.pdf,Documento_12_R.pdf,La Moncloa
DOC_0042,Reunión sobre acontecimientos recientes (8 de marzo de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_13_R.pdf,Documento_13_R.pdf,La Moncloa
DOC_0043,Nota al PREJUJEM (Presidente de la Junta de Jefes de Estado Mayor). Algunos datos para una crónica de un golpe anunciado (Jesús M. Paricio).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_14_R.pdf,Documento_14_R.pdf,La Moncloa
DOC_0044,Incidente entre la defensa del Teniente General Milans del Bosch y la prensa (28 de abril de 1982).,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/cni/Documento_15_R.pdf,Documento_15_R.pdf,La Moncloa
