moncloa_id,moncloa_title,moncloa_pdf_url,moncloa_pdf_filename,moncloa_section,moncloa_subsection,moncloa_date,matched_rtve_doc_id,rtve_title,rtve_pdf_url,rtve_pdf_filename,rtve_date,match_score,match_status,match_method,notes,final_match_status,manual_review,final_notes
moncloa_0141,D.14._AGMAE_R39017_Exp._4,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGMAE-R39017/D.14._AGMAE_R39017_Exp._4.pdf,D.14._AGMAE_R39017_Exp._4.pdf,exteriores,,,rtve_1758,D.14._AGMAE_R39017_Exp._4,https://www.rtve.es/contenidos/documentos/23f-desclasificado/151_2026_d14_agmae_r39017_exp_4.pdf,151_2026_d14_agmae_r39017_exp_4.pdf,,0.9537,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0154,D.29._AGA-83-09301_exp._5,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGA-83-09301/D.29._AGA-83-09301_exp._5.pdf,D.29._AGA-83-09301_exp._5.pdf,exteriores,,,rtve_1774,D.29._AGA-83-09301_exp._5,https://www.rtve.es/contenidos/documentos/23f-desclasificado/166_2026_d29_aga_83_09301_exp_5.pdf,166_2026_d29_aga_83_09301_exp_5.pdf,,0.9537,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0152,D.27._AGA-83-09301_exp._5,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGA-83-09301/D.27._AGA-83-09301_exp._5.pdf,D.27._AGA-83-09301_exp._5.pdf,exteriores,,,rtve_1772,D.27._AGA-83-09301_exp._5,https://www.rtve.es/contenidos/documentos/23f-desclasificado/164_2026_d27_aga_83_09301_exp_5.pdf,164_2026_d27_aga_83_09301_exp_5.pdf,,0.9537,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0156,D.31._AGA-83-09301_exp._5,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGA-83-09301/D.31._AGA-83-09301_exp._5.pdf,D.31._AGA-83-09301_exp._5.pdf,exteriores,,,rtve_1776,D.31._AGA-83-09301_exp._5,https://www.rtve.es/contenidos/documentos/23f-desclasificado/168_2026_d31_aga_83_09301_exp_5.pdf,168_2026_d31_aga_83_09301_exp_5.pdf,,0.9537,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0144,D.19._AGA-83-07633_exp._4,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGA-83-07633/D.19._AGA-83-07633_exp._4.pdf,D.19._AGA-83-07633_exp._4.pdf,exteriores,,,rtve_1763,D.19._AGA-83-07633_exp._4,https://www.rtve.es/contenidos/documentos/23f-desclasificado/156_2026_d19_aga_83_07633_exp_4.pdf,156_2026_d19_aga_83_07633_exp_4.pdf,,0.9537,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0145,D.20._AGA-83-07633_exp._4,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGA-83-07633/D.20._AGA-83-07633_exp._4.pdf,D.20._AGA-83-07633_exp._4.pdf,exteriores,,,rtve_1764,D.20._AGA-83-07633_exp._4,https://www.rtve.es/contenidos/documentos/23f-desclasificado/157_2026_d20_aga_83_07633_exp_4.pdf,157_2026_d20_aga_83_07633_exp_4.pdf,,0.9537,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0146,D.21._AGA-83-07633_exp._4,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGA-83-07633/D.21._AGA-83-07633_exp._4.pdf,D.21._AGA-83-07633_exp._4.pdf,exteriores,,,rtve_1765,D.21._AGA-83-07633_exp._4,https://www.rtve.es/contenidos/documentos/23f-desclasificado/158_2026_d21_aga_83_07633_exp_4.pdf,158_2026_d21_aga_83_07633_exp_4.pdf,,0.9537,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0006,Documento manuscrito de posible planificación del golpe.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/guardia-civil/23F_5._Documento_manuscrito_planificacion_del_golpe.pdf,23F_5._Documento_manuscrito_planificacion_del_golpe.pdf,interior,guardia-civil,,rtve_1698,Documento manuscrito de posible planificación del golpe.,https://www.rtve.es/contenidos/documentos/23f-desclasificado/06_2026_documento_manuscrito_de_posible_planificacion_del_golpe.pdf,06_2026_documento_manuscrito_de_posible_planificacion_del_golpe.pdf,,0.9535,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0131,SECRETO: informe jurídico sobre recurso contra la desestimación de la recusación del Ministro de Defensa.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/Carpeta_21800_Secreto_informe_juridico_sobre_recurso_contra_la_desestimacion_de_la_recusacion_del_Ministro_de_Defensa.pdf,Carpeta_21800_Secreto_informe_juridico_sobre_recurso_contra_la_desestimacion_de_la_recusacion_del_Ministro_de_Defensa.pdf,defensa,,,rtve_1736,SECRETO: informe jurídico sobre recurso contra la desestimación de la recusación del Ministro de Defensa.,https://www.rtve.es/contenidos/documentos/23f-desclasificado/131_2026_secreto_informe_juridico_sobre_recurso_contra_la_desestimacion_de_la_recusacion_.pdf,131_2026_secreto_informe_juridico_sobre_recurso_contra_la_desestimacion_de_la_recusacion_.pdf,,0.9524,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0139,D.3._AGMAE_R39017_Exp._4,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGMAE-R39017/D.3._AGMAE_R39017_Exp._4.pdf,D.3._AGMAE_R39017_Exp._4.pdf,exteriores,,,rtve_1746,D.3._AGMAE_R39017_Exp._4,https://www.rtve.es/contenidos/documentos/23f-desclasificado/140_2026_d3_agmae_r39017_exp_4.pdf,140_2026_d3_agmae_r39017_exp_4.pdf,,0.9519,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0140,D.8._AGMAE_R39017_Exp._4,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGMAE-R39017/D.8._AGMAE_R39017_Exp._4.pdf,D.8._AGMAE_R39017_Exp._4.pdf,exteriores,,,rtve_1751,D.8._AGMAE_R39017_Exp._4,https://www.rtve.es/contenidos/documentos/23f-desclasificado/145_2026_d8_agmae_r39017_exp_4.pdf,145_2026_d8_agmae_r39017_exp_4.pdf,,0.9519,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0138,D.1._AGMAE_R39017_Exp._4,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/exteriores/AGMAE-R39017/D.1._AGMAE_R39017_Exp._4.pdf,D.1._AGMAE_R39017_Exp._4.pdf,exteriores,,,rtve_1743,D.1._AGMAE_R39017_Exp._4,https://www.rtve.es/contenidos/documentos/23f-desclasificado/138_2026_d1_agmae_r39017_exp_4.pdf,138_2026_d1_agmae_r39017_exp_4.pdf,,0.9519,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0027,"Nota ""Involucionismo político provocado por posible golpe militar"" (sin firma).",https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/interior/archivo/5_INVOLUCIONISMO_POLITICO_PROVOCADO_POSIBLE_GOLPE_MILITAR_desp.pdf,5_INVOLUCIONISMO_POLITICO_PROVOCADO_POSIBLE_GOLPE_MILITAR_desp.pdf,interior,archivo,,rtve_1788,"""Nota """"Involucionismo político provocado por posible golpe militar"""" (sin firma).""",https://www.rtve.es/contenidos/documentos/23f-desclasificado/27_2026_nota_involucionismo_politico_provocado_por_posible_golpe_militar_sin_firma.pdf,27_2026_nota_involucionismo_politico_provocado_por_posible_golpe_militar_sin_firma.pdf,,0.9514,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
moncloa_0137,SECRETO: distribución de los procesados por la Causa 2/81 en diferentes Unidades militares durante el juicio.,https://www.lamoncloa.gob.es/consejodeministros/Documents/2026/desclasificacion-documentos-23F/defensa/Carpeta_21804_Secreto_distribucion_de_los_procesados_por_la_causa_2_81_en_diferentes_unidades_militares_durante_el_juicio.pdf,Carpeta_21804_Secreto_distribucion_de_los_procesados_por_la_causa_2_81_en_diferentes_unidades_militares_durante_el_juicio.pdf,defensa,,,rtve_1742,SECRETO: distribución de los procesados por la Causa 2/81 en diferentes Unidades militares durante el juicio.,https://www.rtve.es/contenidos/documentos/23f-desclasificado/137_2026_secreto_distribucion_de_los_procesados_por_la_causa_281_en_diferentes_unidades_m.pdf,137_2026_secreto_distribucion_de_los_procesados_por_la_causa_281_en_diferentes_unidades_m.pdf,,0.95,high_confidence_match,date_aware_one_to_one_similarity,,high_confidence_match,False,
